instnm,Latitude location of institution (HD2019),Institution (entity) name (HD2019),Institution name alias (HD2019),Longitude location of institution (HD2019),Office of Postsecondary Education (OPE) ID Number (HD2019),Latitude location of institution (HD2012),Longitude location of institution (HD2012),Office of Postsecondary Education (OPE) ID Number (HD2012),
East West College of Natural Medicine,27.368451,East West College of Natural Medicine, ,-82.551571,03429700  ,27.368451,-82.551571,03429700  ,
East West College of the Healing Arts,45.513392,East West College of the Healing Arts, ,-122.681029,03074500  ,45.528658,-122.660367,03074500  ,
East-West Healing Arts Institute,43.056000,East-West Healing Arts Institute, ,-89.491041,04219300  ,,,,
East-West University,41.871309,East-West University, ,-87.624793,02168600  ,41.871309,-87.624793,02168600  ,
East-West University,44.881770,East-West University, ,-88.631351,02168601  ,,,,
Eastern Arizona College,32.843664,Eastern Arizona College, ,-109.762340,00107300  ,32.840719,-109.761664,00107300  ,
Eastern Center for Arts and Technology,40.158437,Eastern Center for Arts and Technology, ,-75.108649,02492600  ,40.158544,-75.109688,02492600  ,
Eastern College of Health Vocations-Little Rock,34.751280,Eastern College of Health Vocations-Little Rock, ,-92.341891,02272400  ,34.751104,-92.341194,02272400  ,
Eastern College of Health Vocations-New Orleans,29.944923,Eastern College of Health Vocations-New Orleans, ,-90.180687,02272401  ,29.943613,-90.181626,02272401  ,
Eastern Connecticut State University,41.721673,Eastern Connecticut State University,Eastern|ECSU,-72.218753,00142500  ,41.721673,-72.218753,00142500  ,
Eastern Florida State College,28.383610,Eastern Florida State College,EFSC,-80.756474,00147000  ,28.384791,-80.758130,00147000  ,
Eastern Gateway Community College,40.376056,Eastern Gateway Community College, ,-80.672337,00727500  ,40.376175,-80.672408,00727500  ,
Eastern Illinois University,39.479843,Eastern Illinois University,EIU|E.I.U.|Eastern,-88.175658,00167400  ,39.483017,-88.175505,00167400  ,
Eastern International College-Belleville,40.789635,Eastern International College-Belleville, ,-74.152439,03122601  ,40.763880,-74.220373,03122601  ,
Eastern International College-Jersey City,40.735178,Eastern International College-Jersey City, ,-74.060452,03122600  ,40.735531,-74.062845,03122600  ,
Eastern Iowa Community College District,41.522179,Eastern Iowa Community College District,Eastern Iowa Community Colleges,-90.574459,00407500  ,41.520280,-90.577164,00407500  ,
Eastern Kentucky University,37.740845,Eastern Kentucky University,Eastern  EKU,-84.300796,00196300  ,37.740396,-84.301356,00196300  ,
Eastern Maine Community College,44.826048,Eastern Maine Community College, ,-68.744450,00527700  ,44.826048,-68.744450,00527700  ,
Eastern Mennonite University,38.471134,Eastern Mennonite University,Eastern mennonite univ  EMU university  EMU college  EMU  Eastern mennonite  Eastern mennonite college  EMC   Eastern mennonite seminary  Eastern menonite,-78.880326,00370800  ,38.478611,-78.876077,00370800  ,
Eastern Michigan University,42.246940,Eastern Michigan University, ,-83.622501,00225900  ,42.247936,-83.627076,00225900  ,
Eastern Nazarene College,42.271228,Eastern Nazarene College, ,-71.011079,00214500  ,42.271214,-71.011238,00214500  ,
Eastern New Mexico University Ruidoso Branch Community College,33.346376,Eastern New Mexico University Ruidoso Branch Community College,ENMU - Ruidoso Branch Community College,-105.677273,00265102  ,33.358631,-105.665390,00265102  ,
Eastern New Mexico University-Main Campus,34.175592,Eastern New Mexico University-Main Campus,ENMU-Portales,-103.348190,00265100  ,34.178260,-103.347294,00265100  ,
Eastern New Mexico University-Roswell Campus,33.313167,Eastern New Mexico University-Roswell Campus, ,-104.525718,00265101  ,33.313900,-104.524336,00265101  ,
Eastern Oklahoma County Technology Center,35.516891,Eastern Oklahoma County Technology Center, ,-97.266991,02250900  ,35.516891,-97.266991,02250900  ,
Eastern Oklahoma State College,34.914079,Eastern Oklahoma State College,Eastern|EOSC,-95.328995,00315500  ,34.913336,-95.327682,00315500  ,
Eastern Oregon University,45.319795,Eastern Oregon University,EOU,-118.092495,00319300  ,45.320392,-118.093840,00319300  ,
Eastern School of Acupuncture and Traditional Medicine,40.793610,Eastern School of Acupuncture and Traditional Medicine, ,-74.197160,03811300  ,40.812950,-74.216081,03811300  ,
Eastern Shore Community College,37.640453,Eastern Shore Community College,ESCC,-75.750791,00374800  ,37.640460,-75.750802,00374800  ,
Eastern Suffolk BOCES,40.777958,Eastern Suffolk BOCES, ,-73.237805,02179400  ,40.780472,-73.008330,02179400  ,
Eastern Suffolk BOCES,40.927928,Eastern Suffolk BOCES, ,-72.671895,02179402  ,,,,
Eastern Suffolk BOCES,40.745531,Eastern Suffolk BOCES, ,-73.109752,02179403  ,,,,
Eastern University,40.050448,Eastern University, ,-75.370316,00325900  ,40.052306,-75.370268,00325900  ,
Eastern Virginia Career College,38.241160,Eastern Virginia Career College, ,-77.495581,03654300  ,38.240931,-77.497285,03654300  ,
Eastern Virginia Medical School,36.861232,Eastern Virginia Medical School, ,-76.300694,01033800  ,36.861681,-76.300768,01033800  ,
Eastern Washington University,47.490667,Eastern Washington University,EWU,-117.583808,00377500  ,47.491293,-117.589371,00377500  ,
Eastern West Virginia Community and Technical College,39.075562,Eastern West Virginia Community and Technical College, ,-78.932546,04119000  ,39.075390,-78.932090,04119000  ,
Eastern Wyoming College,42.079354,Eastern Wyoming College, ,-104.190823,00392900  ,42.079354,-104.190823,00392900  ,
Eastfield College,32.815673,Eastfield College, ,-96.659462,00851000  ,32.815679,-96.659470,00851000  ,
Eastland-Fairfield Career and Technical Schools,39.886670,Eastland-Fairfield Career and Technical Schools,Eastland-Fairfield,-82.884305,02522700  ,39.886670,-82.884305,02522700  ,
Eastwick College-Hackensack,40.885847,Eastwick College-Hackensack, ,-74.040491,01246200  ,40.885847,-74.040491,01246200  ,
Eastwick College-Nutley,40.810742,Eastwick College-Nutley, ,-74.144192,02092300  ,40.810742,-74.144192,02092300  ,
Eastwick College-Ramsey,41.057866,Eastwick College-Ramsey, ,-74.131486,02053700  ,41.057866,-74.131486,02053700  ,
Ecclesia College,36.214100,Ecclesia College, ,-94.236643,03855300  ,36.214100,-94.236643,03855300  ,
Eckerd College,27.715798,Eckerd College, ,-82.687043,00148700  ,27.718996,-82.685992,00148700  ,
eClips School of Cosmetology and Barbering,38.685459,eClips School of Cosmetology and Barbering, ,-90.361172,03916300  ,37.305615,-89.547135,03916300  ,
ECPI University,36.842526,ECPI University,ECPI,-76.178773,01019800  ,36.842533,-76.178775,01019800  ,
Ecumenical Theological Seminary,42.344129,Ecumenical Theological Seminary,ETS,-83.055266,04002400  ,42.343950,-83.055551,04002400  ,
Eden Theological Seminary,38.592307,Eden Theological Seminary, ,-90.345605,00246200  ,38.592307,-90.345605,00246200  ,
Edgecombe Community College,35.879867,Edgecombe Community College, ,-77.571786,00885500  ,35.879867,-77.571786,00885500  ,
Edgewood College,43.057059,Edgewood College, ,-89.422884,00384800  ,43.058727,-89.422122,00384800  ,
EDIC College,18.242588,EDIC College, ,-66.025311,03021900  ,18.242426,-66.025215,03021900  ,
Edinboro University of Pennsylvania,41.870717,Edinboro University of Pennsylvania,Edinboro,-80.121318,00332100  ,41.869978,-80.126363,00332100  ,
Edison State Community College,40.157699,Edison State Community College,Edison Community College,-84.212385,01275000  ,40.157997,-84.212558,01275000  ,
Edmonds Community College,47.816376,Edmonds Community College, ,-122.327598,00500100  ,47.816742,-122.327483,00500100  ,
EDP School,40.586050,EDP School,EDP School,-73.952901,04117100  ,40.585848,-73.952865,04117100  ,
EDP University of Puerto Rico Inc-San Juan,18.415375,EDP University of Puerto Rico Inc-San Juan,EDP University of PR Inc.,-66.055403,02165100  ,18.415375,-66.055403,02165100  ,
EDP University of Puerto Rico Inc-San Sebastian,18.334858,EDP University of Puerto Rico Inc-San Sebastian,EDP,-66.990909,02165101  ,18.334858,-66.990909,02165101  ,
EDP University of Puerto Rico-Humacao,18.150762,EDP University of Puerto Rico-Humacao, ,-65.824550,02165103  ,,,,
EDP University of Puerto Rico-Manati,18.429431,EDP University of Puerto Rico-Manati, ,-66.490949,02165104  ,,,,
EDP University of Puerto Rico-Villalba,18.109811,EDP University of Puerto Rico-Villalba, ,-66.505648,02165102  ,,,,
Educational Technical College,18.294782,Educational Technical College,EDUTEC,-66.877248,02570407  ,,,,
Educational Technical College-Recinto de Bayamon,18.398885,Educational Technical College-Recinto de Bayamon, ,-66.151679,02570400  ,18.395254,-66.159092,02570400  ,
Educational Technical College-Recinto de Coamo,18.080656,Educational Technical College-Recinto de Coamo, ,-66.358512,02570402  ,18.081816,-66.364369,02570402  ,
Educators of Beauty College of Cosmetology-Peru,41.354338,Educators of Beauty College of Cosmetology-Peru, ,-89.118454,00947500  ,41.328509,-89.098246,00947500  ,
Educators of Beauty College of Cosmetology-Rockford,42.299278,Educators of Beauty College of Cosmetology-Rockford, ,-88.998054,00825901  ,42.299279,-88.999515,00825901  ,
Educators of Beauty College of Cosmetology-Sterling,41.788581,Educators of Beauty College of Cosmetology-Sterling, ,-89.692522,00825900  ,41.788153,-89.692686,00825900  ,
EduMed Partners,36.299536,EduMed Partners, ,-86.700979,04246300  ,,,,
Edward Via College of Osteopathic Medicine,37.199659,Edward Via College of Osteopathic Medicine, ,-80.406018,03709300  ,37.199666,-80.406021,03709300  ,
Edward Waters College,30.344790,Edward Waters College, ,-81.684879,00147800  ,30.345130,-81.684817,00147800  ,
EHOVE Career Center,41.332655,EHOVE Career Center, ,-82.630439,03015300  ,41.333161,-82.629220,03015300  ,
EINE Inc,42.598024,EINE Inc,Electrology Institute of NE  Esthetics Institute of NE,-71.220396,03859300  ,42.598033,-71.220396,03859300  ,
El Camino Community College District,33.885229,El Camino Community College District,ECC,-118.329913,00119700  ,33.885586,-118.326623,00119700  ,
El Centro College,32.779811,El Centro College, ,-96.805353,00445300  ,32.779817,-96.805361,00445300  ,
El Paso Community College,31.773359,El Paso Community College, ,-106.373616,01038700  ,31.773606,-106.369120,01038700  ,
Elaine Sterling Institute,33.846647,Elaine Sterling Institute, ,-84.363266,04204500  ,33.886466,-84.381704,04204500  ,
Elaine Steven Beauty College,38.761399,Elaine Steven Beauty College, ,-90.278574,02564700  ,38.761399,-90.278574,02564700  ,
Electrical Training Center,40.680471,Electrical Training Center, ,-73.404943,04223800  ,,,,
Elegance International,34.098445,Elegance International, ,-118.338111,02091200  ,34.062216,-118.338332,02091200  ,
Elevate Salon Institute,35.993485,Elevate Salon Institute,The Institute,-78.898377,04173801  ,,,,
Elevate Salon Institute,41.375544,Elevate Salon Institute, ,-81.791333,04151400  ,41.425409,-82.079622,04151400  ,
Elevate Salon Institute,42.525165,Elevate Salon Institute, ,-83.164514,04121100  ,42.577735,-82.884196,04121100  ,
Elevate Salon Institute-Chubbuck,42.919964,Elevate Salon Institute-Chubbuck, ,-112.464554,02314000  ,42.920006,-112.465046,02314000  ,
Elevate Salon Institute-Westminster,39.857821,Elevate Salon Institute-Westminster, ,-105.072521,04195300  ,40.152578,-105.104408,04195300  ,
Elgin Community College,42.018066,Elgin Community College,ECC,-88.321940,00167500  ,42.018066,-88.321940,00167500  ,
Elim Bible Institute and College,42.909692,Elim Bible Institute and College,EBIC,-77.615151,04251400  ,,,,
Elite Academy of Hair Design,40.014519,Elite Academy of Hair Design,Elite Academy Of Hair Design  Elite Academy,-80.744005,04277400  ,,,,
Elite College of Cosmetology,35.657876,Elite College of Cosmetology, ,-88.409149,04124100  ,35.657847,-88.409239,04124100  ,
Elite Cosmetology School,34.121188,Elite Cosmetology School, ,-116.435531,04175400  ,34.120679,-116.435420,04175400  ,
Elite Cosmetology  Barber & Spa Academy,46.584032,Elite Cosmetology  Barber & Spa Academy,Elite CBS Academy,-120.543820,04260200  ,,,,
Elite Institute of Cosmetology,38.745552,Elite Institute of Cosmetology, ,-82.994163,04254800  ,,,,
Elite School of Cosmetology,41.233614,Elite School of Cosmetology, ,-82.607950,04185900  ,41.233332,-82.608308,04185900  ,
Elite Welding Academy LLC,39.313738,Elite Welding Academy LLC, ,-84.468434,04206700  ,,,,
Elizabeth City State University,36.277978,Elizabeth City State University,ECSU,-76.214041,00292600  ,36.273539,-76.210063,00292600  ,
Elizabeth Grady School of Esthetics and Massage Therapy,42.414728,Elizabeth Grady School of Esthetics and Massage Therapy, ,-71.126230,02523900  ,42.415599,-71.126566,02523900  ,
Elizabethtown College,40.149236,Elizabethtown College, ,-76.593224,00326200  ,40.150372,-76.594175,00326200  ,
Elizabethtown College School of Continuing and Professional Studies,40.149236,Elizabethtown College School of Continuing and Professional Studies, ,-76.593224,00326200  ,40.162878,-76.608667,00326200  ,
Elizabethtown Community and Technical College,37.692858,Elizabethtown Community and Technical College, ,-85.879927,00199100  ,37.703066,-85.861419,00199100  ,
Ellsworth Community College,42.527524,Ellsworth Community College,Iowa Valley Community College District,-93.265853,00186200  ,42.527524,-93.265853,00186200  ,
Elmezzi Graduate School of Molecular Medicine,40.775582,Elmezzi Graduate School of Molecular Medicine, ,-73.702257,04117000  ,,,,
Elmhurst College,41.897164,Elmhurst College, ,-87.945369,00167600  ,41.899215,-87.946096,00167600  ,
Elmira Business Institute,42.096965,Elmira Business Institute, ,-75.974950,00904300  ,42.085709,-76.799300,00904300  ,
Elmira College,42.096100,Elmira College,EC,-76.813459,00271800  ,42.092724,-76.811333,00271800  ,
Elon University,36.104148,Elon University, ,-79.503440,00292700  ,36.104149,-79.505632,00292700  ,
Elyon College,40.611081,Elyon College, ,-73.980593,04262200  ,,,,
Embry-Riddle Aeronautical University-Daytona Beach,29.189903,Embry-Riddle Aeronautical University-Daytona Beach,Embry Riddle Aeronautical University-Daytona Beach,-81.048367,00147900  ,29.189244,-81.049500,00147900  ,
Embry-Riddle Aeronautical University-Prescott,34.616766,Embry-Riddle Aeronautical University-Prescott,Embry Riddle Aeronautical University-Prescott,-112.449741,00147902  ,34.615678,-112.452285,00147902  ,
Embry-Riddle Aeronautical University-Worldwide,29.189903,Embry-Riddle Aeronautical University-Worldwide,Embry Riddle Aeronautical University-Worldwide,-81.048367,00147900  ,29.189270,-81.049510,00147900  ,
Emerald Coast Technical College,30.732090,Emerald Coast Technical College, ,-86.128061,04146200  ,30.733035,-86.127762,04146200  ,
Emerson College,42.352202,Emerson College, ,-71.065384,00214600  ,42.355320,-71.074037,00214600  ,
Emily Griffith Technical College,39.745750,Emily Griffith Technical College,Emily Griffith  EGTC  EGOS  Opportunity School  Opp School  Denver Public Schools-Emily Griffith Opportunity School,-104.985751,00559600  ,39.741034,-104.995303,00559600  ,
Emma's Beauty Academy-Juana Diaz,18.041587,Emma's Beauty Academy-Juana Diaz, ,-66.504191,03075600  ,18.038901,-66.508908,03075600  ,
Emma's Beauty Academy-Mayaguez,18.200082,Emma's Beauty Academy-Mayaguez, ,-67.141725,02189300  ,18.199825,-67.140997,02189300  ,
Emmanuel College,34.283641,Emmanuel College, ,-83.148220,00156300  ,34.282617,-83.146825,00156300  ,
Emmanuel College,42.340602,Emmanuel College, ,-71.103634,00214700  ,42.341191,-71.103038,00214700  ,
Emmaus Bible College,42.508307,Emmaus Bible College, ,-90.706011,02328900  ,42.509041,-90.705921,02328900  ,
Emory & Henry College,36.772857,Emory & Henry College, ,-81.829142,00370900  ,36.772543,-81.831737,00370900  ,
Emory University,33.790183,Emory University, ,-84.325512,00156400  ,33.798836,-84.325782,00156400  ,
Emory University-Oxford College,33.619100,Emory University-Oxford College, ,-83.871141,00156401  ,,,,
Emperor's College of Traditional Oriental Medicine,34.030438,Emperor's College of Traditional Oriental Medicine, ,-118.485119,02609000  ,34.030300,-118.484700,02609000  ,
Empire Beauty  School-Lehigh Valley,40.630060,Empire Beauty  School-Lehigh Valley, ,-75.485471,00966400  ,40.630060,-75.485471,00966400  ,
Empire Beauty School-Augusta,33.516811,Empire Beauty School-Augusta, ,-82.066289,01054202  ,,,,
Empire Beauty School-Aurora,39.695935,Empire Beauty School-Aurora, ,-104.792572,02173207  ,39.695935,-104.792572,02141103  ,
Empire Beauty School-Avondale,33.463388,Empire Beauty School-Avondale, ,-112.274477,01260606  ,33.464237,-112.273076,01234300  ,
Empire Beauty School-Bloomfield,40.794970,Empire Beauty School-Bloomfield, ,-74.199706,00945917  ,40.795445,-74.198658,02252701  ,
Empire Beauty School-Bloomington,44.827460,Empire Beauty School-Bloomington, ,-93.287367,01260603  ,44.827460,-93.287367,00987000  ,
Empire Beauty School-Bordentown,40.173971,Empire Beauty School-Bordentown, ,-74.702495,02079415  ,40.173971,-74.702495,02149801  ,
Empire Beauty School-Boston,42.354683,Empire Beauty School-Boston, ,-71.062722,00817807  ,42.354744,-71.062529,01292100  ,
Empire Beauty School-Brooklyn,40.599279,Empire Beauty School-Brooklyn, ,-73.989884,02173211  ,40.599279,-73.989884,02173201  ,
Empire Beauty School-Buffalo,42.908206,Empire Beauty School-Buffalo, ,-78.755118,00817812  ,,,,
Empire Beauty School-Center City Philadelphia,39.950921,Empire Beauty School-Center City Philadelphia, ,-75.166566,00817809  ,39.950932,-75.166080,01301500  ,
Empire Beauty School-Chandler,33.347586,Empire Beauty School-Chandler, ,-111.860423,01054208  ,33.347586,-111.860423,01180801  ,
Empire Beauty School-Charlotte,35.258550,Empire Beauty School-Charlotte, ,-80.783700,02173210  ,35.258550,-80.783700,02332103  ,
Empire Beauty School-Cheltenham,40.082265,Empire Beauty School-Cheltenham, ,-75.168640,01054214  ,,,,
Empire Beauty School-Chenoweth,38.255764,Empire Beauty School-Chenoweth, ,-85.657520,01054210  ,38.255692,-85.657718,01296800  ,
Empire Beauty School-Cherry Hill,39.941469,Empire Beauty School-Cherry Hill, ,-75.017823,00757309  ,39.941907,-75.020767,02344200  ,
Empire Beauty School-Cincinnati,39.223250,Empire Beauty School-Cincinnati,Gary's Incorporated,-84.588841,02334300  ,39.220300,-84.584383,02334300  ,
Empire Beauty School-Concord,35.364022,Empire Beauty School-Concord, ,-80.712059,00945909  ,35.364501,-80.713322,00902501  ,
Empire Beauty School-Dixie,38.167059,Empire Beauty School-Dixie, ,-85.830866,00757305  ,38.167059,-85.830866,01291600  ,
Empire Beauty School-Dunwoody,33.931981,Empire Beauty School-Dunwoody, ,-84.332317,01054212  ,33.933413,-84.335672,02607600  ,
Empire Beauty School-E Greensboro,36.087580,Empire Beauty School-E Greensboro, ,-79.759461,00757304  ,36.087328,-79.759469,01291401  ,
Empire Beauty School-E Memphis,35.115499,Empire Beauty School-E Memphis, ,-89.901970,00817810  ,35.115578,-89.902682,01301501  ,
Empire Beauty School-Elizabethtown,37.697453,Empire Beauty School-Elizabethtown, ,-85.878557,02173203  ,37.700034,-85.880054,01291700  ,
Empire Beauty School-Flagstaff,35.197151,Empire Beauty School-Flagstaff, ,-111.625936,01054207  ,35.197151,-111.625936,01180800  ,
Empire Beauty School-Florence,39.009553,Empire Beauty School-Florence, ,-84.628998,00945913  ,39.011018,-84.627357,01291500  ,
Empire Beauty School-Framingham,42.297803,Empire Beauty School-Framingham, ,-71.422199,02079401  ,42.297796,-71.423185,02079400  ,
Empire Beauty School-Glen Burnie,39.203264,Empire Beauty School-Glen Burnie, ,-76.616551,00966402  ,39.203652,-76.614089,00966402  ,
Empire Beauty School-Green Bay,44.477375,Empire Beauty School-Green Bay, ,-88.076427,01260611  ,44.523496,-88.097938,03077600  ,
Empire Beauty School-Gwinnett,33.939252,Empire Beauty School-Gwinnett, ,-84.121878,01260601  ,33.939848,-84.123860,01260601  ,
Empire Beauty School-Hanover,39.818109,Empire Beauty School-Hanover, ,-76.995146,02079410  ,39.816991,-76.995039,01260500  ,
Empire Beauty School-Hanover Park,41.977516,Empire Beauty School-Hanover Park, ,-88.135725,00945918  ,41.970117,-88.114475,02599500  ,
Empire Beauty School-Harrisburg,40.293647,Empire Beauty School-Harrisburg, ,-76.828798,00817803  ,40.293558,-76.829363,00966500  ,
Empire Beauty School-Hooksett,43.054992,Empire Beauty School-Hooksett, ,-71.444120,00864500  ,43.056383,-71.441338,00864501  ,
Empire Beauty School-Hurstborne,38.166498,Empire Beauty School-Hurstborne, ,-85.605317,00757303  ,38.166431,-85.604717,01291400  ,
Empire Beauty School-Indianapolis,39.666467,Empire Beauty School-Indianapolis, ,-86.100614,00757311  ,39.666467,-86.100614,02345200  ,
Empire Beauty School-Jackson,35.636940,Empire Beauty School-Jackson, ,-88.847611,00757310  ,35.636437,-88.847490,02344201  ,
Empire Beauty School-Kennesaw,34.012704,Empire Beauty School-Kennesaw, ,-84.566880,01260602  ,34.011112,-84.562798,01260602  ,
Empire Beauty School-Laconia,43.527157,Empire Beauty School-Laconia, ,-71.469612,00864502  ,43.526083,-71.468942,00864500  ,
Empire Beauty School-Lakeland,28.108318,Empire Beauty School-Lakeland, ,-81.973025,01260613  ,,,,
Empire Beauty School-Lancaster,40.038813,Empire Beauty School-Lancaster, ,-76.354033,00966408  ,40.038254,-76.354069,01102000  ,
Empire Beauty School-Lauderhill,26.184710,Empire Beauty School-Lauderhill, ,-80.251119,00966409  ,26.183157,-80.250996,01102002  ,
Empire Beauty School-Lebanon,40.311029,Empire Beauty School-Lebanon, ,-76.423302,00817806  ,40.311850,-76.424711,01097000  ,
Empire Beauty School-Littleton,39.608128,Empire Beauty School-Littleton, ,-105.097089,02173206  ,39.608128,-105.097089,02141100  ,
Empire Beauty School-Maine,43.667885,Empire Beauty School-Maine, ,-70.258154,00945900  ,43.667885,-70.258154,00945900  ,
Empire Beauty School-Malden,42.427368,Empire Beauty School-Malden, ,-71.076619,01054211  ,42.427368,-71.076619,02076700  ,
Empire Beauty School-Manhattan,40.748938,Empire Beauty School-Manhattan, ,-73.986453,02173200  ,40.748938,-73.986453,02173200  ,
Empire Beauty School-Michigan,43.028642,Empire Beauty School-Michigan, ,-85.691067,00817800  ,43.029398,-85.626152,00817800  ,
Empire Beauty School-Midlothian,37.438430,Empire Beauty School-Midlothian, ,-77.593651,01054204  ,37.438104,-77.594067,00966601  ,
Empire Beauty School-Milwaukee,42.942560,Empire Beauty School-Milwaukee, ,-87.950452,01260612  ,42.942560,-87.950452,03077603  ,
Empire Beauty School-Monroeville,40.434651,Empire Beauty School-Monroeville, ,-79.785227,00966405  ,40.434267,-79.785703,01054100  ,
Empire Beauty School-Morrow,33.564936,Empire Beauty School-Morrow, ,-84.325680,00757308  ,33.565226,-84.326347,02288801  ,
Empire Beauty School-Nashville,35.967868,Empire Beauty School-Nashville, ,-86.814676,01054213  ,35.967328,-86.814698,02607601  ,
Empire Beauty School-NE Philadelphia,40.084983,Empire Beauty School-NE Philadelphia, ,-74.971093,02079400  ,40.085007,-74.971808,00978300  ,
Empire Beauty School-North Hills,40.519870,Empire Beauty School-North Hills, ,-80.004389,00817805  ,40.523070,-80.005335,01054301  ,
Empire Beauty School-Northlake,33.847741,Empire Beauty School-Northlake, ,-84.256996,02079416  ,,,,
Empire Beauty School-NW Phoenix,33.538093,Empire Beauty School-NW Phoenix, ,-112.118168,00945915  ,33.538093,-112.118168,02220300  ,
Empire Beauty School-Owings Mills,39.403672,Empire Beauty School-Owings Mills, ,-76.761993,00966401  ,39.405218,-76.759697,00966401  ,
Empire Beauty School-Paramus,40.912644,Empire Beauty School-Paramus, ,-74.043699,00757301  ,40.913536,-74.045583,00757301  ,
Empire Beauty School-Peekskill,41.291484,Empire Beauty School-Peekskill,Northern Westchester School of Hair Dressing and Cosmetology  Inc.,-73.918806,02314200  ,41.291013,-73.919085,02314200  ,
Empire Beauty School-Pineville,35.089864,Empire Beauty School-Pineville, ,-80.865367,00945910  ,35.088218,-80.865834,00902502  ,
Empire Beauty School-Pottsville,40.706451,Empire Beauty School-Pottsville, ,-76.186417,01260600  ,40.687534,-76.196648,01260600  ,
Empire Beauty School-Queens,40.759259,Empire Beauty School-Queens, ,-73.919033,00757300  ,40.759165,-73.919106,00757300  ,
Empire Beauty School-Reading,40.370166,Empire Beauty School-Reading, ,-75.927465,01054203  ,40.370110,-75.925551,00966600  ,
Empire Beauty School-Richmond,37.634052,Empire Beauty School-Richmond, ,-77.550607,01054206  ,37.636022,-77.548933,01102101  ,
Empire Beauty School-Rochester,43.216013,Empire Beauty School-Rochester, ,-77.726297,02173202  ,,,,
Empire Beauty School-S Memphis,35.109720,Empire Beauty School-S Memphis, ,-89.945739,02079409  ,35.109599,-89.945938,00978302  ,
Empire Beauty School-Savannah,32.008547,Empire Beauty School-Savannah, ,-81.112086,02173205  ,32.008680,-81.114862,01293701  ,
Empire Beauty School-Shamokin Dam,40.854559,Empire Beauty School-Shamokin Dam, ,-76.815891,00966411  ,40.855690,-76.818466,01163800  ,
Empire Beauty School-Somersworth,43.230040,Empire Beauty School-Somersworth, ,-70.881563,02179600  ,43.260875,-70.904579,02179600  ,
Empire Beauty School-Speedway,39.800550,Empire Beauty School-Speedway, ,-86.261512,02079411  ,39.797190,-86.260420,01260504  ,
Empire Beauty School-Spring Lake Park,45.117185,Empire Beauty School-Spring Lake Park, ,-93.262370,00945912  ,45.116629,-93.262399,00972203  ,
Empire Beauty School-Springfield,39.937650,Empire Beauty School-Springfield, ,-75.349771,00966413  ,39.937064,-75.351083,02149002  ,
Empire Beauty School-Stone Park,41.907282,Empire Beauty School-Stone Park, ,-87.871263,02079406  ,,,,
Empire Beauty School-Tampa,27.941959,Empire Beauty School-Tampa, ,-82.338274,01054215  ,,,,
Empire Beauty School-Thornton,39.915253,Empire Beauty School-Thornton, ,-104.943570,00757306  ,39.914863,-104.943533,02160600  ,
Empire Beauty School-Tucson,32.235657,Empire Beauty School-Tucson, ,-110.927187,00966403  ,32.235657,-110.927187,00886500  ,
Empire Beauty School-Union,40.684576,Empire Beauty School-Union, ,-74.238364,00945919  ,40.684842,-74.239193,02261800  ,
Empire Beauty School-Vernon Hills,42.241767,Empire Beauty School-Vernon Hills, ,-87.958698,02079405  ,,,,
Empire Beauty School-Virginia Beach,36.838455,Empire Beauty School-Virginia Beach, ,-76.135548,02079404  ,36.838538,-76.136787,02079404  ,
Empire Beauty School-Warminster,40.201684,Empire Beauty School-Warminster, ,-75.100071,00757307  ,40.202118,-75.100300,02288800  ,
Empire Beauty School-Warwick,41.821724,Empire Beauty School-Warwick, ,-71.422425,01260608  ,41.703675,-71.493264,02176900  ,
Empire Beauty School-West Greensboro,36.051588,Empire Beauty School-West Greensboro, ,-79.904320,02079413  ,36.051064,-79.902716,02092201  ,
Empire Beauty School-West Mifflin,40.344669,Empire Beauty School-West Mifflin, ,-79.946147,00966406  ,40.345999,-79.939958,01054104  ,
Empire Beauty School-West Palm,26.705541,Empire Beauty School-West Palm, ,-80.107401,00966410  ,26.706706,-80.107127,01102003  ,
Empire Beauty School-Winston-Salem,36.152612,Empire Beauty School-Winston-Salem, ,-80.282751,00757312  ,36.151368,-80.282897,02345201  ,
Empire Beauty School-Wyoming Valley,41.375743,Empire Beauty School-Wyoming Valley, ,-75.701735,01054200  ,41.374143,-75.700029,01054200  ,
Empire Beauty School-York,39.972543,Empire Beauty School-York, ,-76.674663,01054205  ,39.973009,-76.674730,01102100  ,
Empire College,38.468052,Empire College, ,-122.729337,00903200  ,38.467789,-122.728642,00903200  ,
Employment Solutions-College for Technical Education,37.982131,Employment Solutions-College for Technical Education,Employment Solutions  CTE,-84.483346,03885300  ,37.982264,-84.483707,03885300  ,
Emporia State University,38.414784,Emporia State University,ESU  E-State,-96.179021,00192700  ,38.412583,-96.179454,00192700  ,
Endicott College,42.553296,Endicott College, ,-70.840847,00214800  ,42.554177,-70.840729,00214800  ,
Enid Beauty College,36.393267,Enid Beauty College, ,-97.927122,02126500  ,36.396929,-97.854962,02126500  ,
Enterprise State Community College,31.297496,Enterprise State Community College,Enterprise-Ozark Community College   Enterprise State Junior College,-85.836956,00101500  ,31.297496,-85.836956,00101500  ,
Entourage Institute of Beauty and Esthetics,38.958000,Entourage Institute of Beauty and Esthetics, ,-94.725291,04179600  ,38.956677,-94.724849,04179600  ,
