instnm,Latitude location of institution (HD2019),Institution (entity) name (HD2019),Institution name alias (HD2019),Longitude location of institution (HD2019),Office of Postsecondary Education (OPE) ID Number (HD2019),Latitude location of institution (HD2012),Longitude location of institution (HD2012),Office of Postsecondary Education (OPE) ID Number (HD2012),
Ace Cosmetology and Barber Training Center,41.593956,Ace Cosmetology and Barber Training Center,Ace Cosmetology/Barber Training Center,-72.987416,04219200  ,,,,
Ace Institute of Technology,40.753658,Ace Institute of Technology, ,-73.993385,04043300  ,40.715882,-73.843281,04043300  ,
Acupuncture and Integrative Medicine College-Berkeley,37.862754,Acupuncture and Integrative Medicine College-Berkeley,AIMC Berkeley,-122.267636,03327400  ,37.862754,-122.267636,03327400  ,
Acupuncture and Massage College,25.686382,Acupuncture and Massage College, ,-80.364141,03414500  ,25.686250,-80.364500,03414500  ,
Adams State University,37.473636,Adams State University, ,-105.879642,00134500  ,37.477238,-105.880943,00134500  ,
Adelphi University,40.721439,Adelphi University, ,-73.653321,00266600  ,40.721439,-73.653321,00266600  ,
Adirondack Community College,43.351839,Adirondack Community College,SUNY Adirondack,-73.654813,00286000  ,43.353441,-73.655014,00286000  ,
Adler Graduate School,44.893479,Adler Graduate School, ,-93.410236,03051900  ,44.862865,-93.252532,03051900  ,
Adler University,41.882414,Adler University, ,-87.629156,02068100  ,41.882333,-87.629350,02068100  ,
Adrian College,41.898591,Adrian College, ,-84.061481,00223400  ,41.898449,-84.059947,00223400  ,
Adrian's College of Beauty Turlock,37.491448,Adrian's College of Beauty Turlock, ,-120.863784,02520400  ,37.492628,-120.863441,02520400  ,
Adult and Community Education-Hudson,40.012851,Adult and Community Education-Hudson, ,-82.980603,00812900  ,40.012851,-82.980603,00812900  ,
Adult and Continuing Education-BCTS,40.900877,Adult and Continuing Education-BCTS,Bergen Career Institute  Bergen County Technical Schools,-74.035045,02312000  ,40.901784,-74.033997,02312000  ,
Advance Beauty College,33.759905,Advance Beauty College, ,-117.952637,03736300  ,33.759869,-117.952584,03736300  ,
Advance Beauty Techs Academy,33.884074,Advance Beauty Techs Academy,ABT ACADEMY,-117.517655,04206800  ,33.795356,-116.971477,04206800  ,
Advance Science International College,25.924708,Advance Science International College,ASICollege,-80.284567,03757300  ,25.855598,-80.306989,03757300  ,
