instnm,Longitude location of institution (HD2019),Latitude location of institution (HD2019),City location of institution (HD2019),Office of Postsecondary Education (OPE) ID Number (HD2019),
Acupuncture and Massage College,-80.364141,25.686382,Miami,03414500  ,
Adams State University,-105.879642,37.473636,Alamosa,00134500  ,
Adelphi University,-73.653321,40.721439,Garden City,00266600  ,
Adirondack Community College,-73.654813,43.351839,Queensbury,00286000  ,
Adler Graduate School,-93.410236,44.893479,Minnetonka,03051900  ,
Adler University,-87.629156,41.882414,Chicago,02068100  ,
Adrian College,-84.061481,41.898591,Adrian,00223400  ,
Adrian's College of Beauty Turlock,-120.863784,37.491448,Turlock,02520400  ,
Adult and Community Education-Hudson,-82.980603,40.012851,Columbus,00812900  ,
Adult and Continuing Education-BCTS,-74.035045,40.900877,Hackensack,02312000  ,
Advance Beauty College,-117.952637,33.759905,Garden Grove,03736300  ,
Advance Beauty Techs Academy,-117.517655,33.884074,San Jacinto,04206800  ,
Advance Science International College,-80.284567,25.924708,Miami Lakes,03757300  ,
Advanced Barber College and Hair Design,-97.958247,26.131543,Weslaco,03412300  ,
Advanced Beauty College,-96.992700,32.859493,Irving,04155800  ,
Advanced Career Institute,-119.385330,36.344669,Visalia,04208900  ,
Advanced College,-118.157940,33.915383,South Gate,03786300  ,
Advanced College of Cosmetology,-88.736198,43.632848,Waupun,04179200  ,
Advanced College-Stockton,-121.294530,38.025552,Stockton,03786301  ,
Advanced Technology Institute,-76.182268,36.841381,Virginia Beach,03127500  ,
Advanced Training Associates,-116.981781,32.819023,El Cajon,03532400  ,
Advanced Training Institute,-115.206821,36.095890,Las Vegas,04171000  ,
Advanced Welding Institute,-73.139437,44.455880,South Burlington,04146900  ,
Advantage Career Institute,-74.049694,40.279075,Eatontown,04229100  ,
Advantage Technical College,-66.081082,18.454692,San Juan,03104401  ,
Advantage Technical College,-66.493084,18.428049,Manati,03104400  ,
AdventHealth University,-81.367687,28.576142,Orlando,03115500  ,
Aesthetic Science Institute,-73.794947,42.761940,Latham,04204300  ,
Agnes Scott College,-84.295459,33.769268,Decatur,00154200  ,
