instnm,Longitude location of institution (HD2019),Latitude location of institution (HD2019),City location of institution (HD2019),Office of Postsecondary Education (OPE) ID Number (HD2019),
Chamberlain University-Louisiana,-90.152655,29.962307,Jefferson,00638521  ,
Chamberlain University-Michigan,-83.150516,42.556474,Troy,00638516  ,
Chamberlain University-Missouri,-90.436283,38.701907,St. Louis,00638507  ,
Chamberlain University-Nevada,-115.313525,36.185176,Las Vegas,00638515  ,
Chamberlain University-New Jersey,-74.438877,40.465934,North Brunswick,00638517  ,
Chamberlain University-North Carolina,-80.931971,35.137660,Charlotte,00638519  ,
Chamberlain University-Ohio,-82.940493,39.940449,Columbus,00638501  ,
Chamberlain University-Texas,-95.560414,29.838386,Houston,00638508  ,
Chamberlain University-Virginia,-77.050273,38.852326,Arlington,00638506  ,
Chambersburg Beauty School,-77.665359,39.935077,Chambersburg,00826301  ,
Chaminade University of Honolulu,-157.807851,21.289950,Honolulu,00160500  ,
Champ's Barber School,-76.307594,40.037616,Lancaster,04215500  ,
Champion Beauty College,-95.489161,29.993520,Houston,04117900  ,
Champion Christian College,-93.065945,34.499589,Hot Springs,04276100  ,
Champion Institute of Cosmetology,-116.545916,33.813346,Palm Springs,04126400  ,
Champlain College,-73.202746,44.473287,Burlington,00368400  ,
Chandler-Gilbert Community College,-111.795922,33.293897,Chandler,03072200  ,
Chapman University,-117.852518,33.793020,Orange,00116400  ,
Charles A Jones Career and Education Center,-121.440796,38.516233,Sacramento,00950900  ,
Charles and Sues School of Hair Design,-96.340102,30.652800,Bryan,01293000  ,
Charles H McCann Technical School,-73.101490,42.664578,North Adams,00555700  ,
Charles of Italy Beauty College,-114.332686,34.477485,Lake Havasu City,02280500  ,
Charles R Drew University of Medicine and Science,-118.242791,33.925658,Los Angeles,01036500  ,
Charles Stuart School of Diamond Setting,-73.958560,40.608484,Brooklyn,03096200  ,
Charleston Cosmetology Institute,-80.111988,32.917770,Charleston,02356600  ,
Charleston School of Beauty Culture,-81.634583,38.349945,Charleston,02178200  ,
Charleston School of Law,-79.938357,32.790288,Charleston,04096300  ,
Charleston Southern University,-80.072587,32.983047,Charleston,00341900  ,
Charlie's Guard-Detective Bureau and Academy Inc,-67.153612,18.469662,Aguadilla,03735400  ,
Charlotte Christian College and Theological Seminary,-80.737194,35.159664,Charlotte,03827300  ,
Charlotte Technical College,-82.147238,27.005558,Port Charlotte,02297000  ,
Charter College,-122.494766,45.617798,Vancouver,02576900  ,
Charter Oak State College,-72.767972,41.688246,New Britain,03234300  ,
Charzanne Beauty College,-82.138883,34.212583,Greenwood,02338600  ,
Chatfield College,-83.887153,39.210369,Saint Martin,01088000  ,
Chatham University,-79.926083,40.448432,Pittsburgh,00324400  ,
Chattahoochee Technical College,-84.553722,33.929092,Marietta,00562000  ,
Chattahoochee Valley Community College,-85.031485,32.423910,Phenix City,01218200  ,
Chattanooga College Medical Dental and Technical Careers,-85.238131,35.133140,Chattanooga,02204200  ,
Chattanooga State Community College,-85.237389,35.100202,Chattanooga,00399800  ,
Cheeks Beauty Academy,-104.816751,41.134123,Cheyenne,02211900  ,
Cheeks Beauty Academy,-105.078334,40.445169,Loveland,02211901  ,
Chemeketa Community College,-122.978076,44.978655,Salem,00321800  ,
Cheryl Fells School of Business,-78.983526,43.106577,Niagara Falls,02176000  ,
Chesapeake College,-76.083668,38.952193,Wye Mills,00465000  ,
Chester Career College,-77.374112,37.348882,CHESTER,03409500  ,
Chester County Intermediate Unit,-75.680728,40.005928,Downingtown,00752900  ,
Chestnut Hill College,-75.228742,40.086780,Philadelphia,00324500  ,
Cheyney University of Pennsylvania,-75.529262,39.932274,Cheyney,00331700  ,
CHI Health School of Radiologic Technology,-96.020431,41.322060,Omaha,00849200  ,
Chicago School of Professional Psychology at Dallas,-96.757210,32.979753,Richardson,02155311  ,
Chicago State University,-87.609384,41.718446,Chicago,00169400  ,
Chicago Theological Seminary,-87.591178,41.785701,Chicago,00166100  ,
Chief Dull Knife College,-106.664593,45.625568,Lame Deer,02545200  ,
Chipola College,-85.231390,30.789228,Marianna,00147200  ,
Chippewa Valley Technical College,-91.505675,44.794867,Eau Claire,00530400  ,
Chisholm Trail Technology Center,-98.201840,35.842210,Omega,03051100  ,
Choffin Career  and Technical Center,-80.644393,41.100847,Youngstown,00747300  ,
Chowan University,-77.099141,36.436258,Murfreesboro,00291600  ,
Chris Beauty College,-89.077391,30.382294,Gulfport,02074900  ,
Christ Mission College,-98.706990,29.543412,San Antonio,04279400  ,
Christ the King Seminary,-78.660311,42.770890,East Aurora,00282200  ,
Christian Brothers University,-89.983241,35.127437,Memphis,00348200  ,
Christian Culinary Academy,-123.959303,45.899610,Cannon Beach,-2        ,
Christian Life College,-87.930934,42.074096,Mount Prospect,03199300  ,
Christian Theological Seminary,-86.178551,39.832673,Indianapolis,00178900  ,
Christie's Education,-73.980819,40.758871,New York,03665400  ,
Christina and Company Education Center,-86.815349,40.414052,Lafayette,04258200  ,
Christine Valmy International School for Esthetics  Skin Care & Makeup,-73.986466,40.757105,New York,04233700  ,
Christine Valmy International School of Esthetics & Cosmetology,-74.358331,40.868977,Pine Brook,04184500  ,
Christopher Newport University,-76.494364,37.062495,Newport News,00370600  ,
Church Divinity School of the Pacific,-122.261122,37.876184,Berkeley,00116500  ,
Cincinnati Christian University,-84.554080,39.114169,Cincinnati,00302900  ,
Cincinnati College of Mortuary Science,-84.505604,39.206578,Cincinnati,01090600  ,
Cincinnati School of Barbering & Hair Design Inc,-84.582563,39.206754,Cincinnati,04254900  ,
Cincinnati State Technical and Community College,-84.536936,39.149915,Cincinnati,01034500  ,
Cinta Aveda Institute,-122.404307,37.790935,San Francisco,04180000  ,
Circle in the Square Theatre School,-73.984607,40.762059,New York,02125500  ,
Cisco College,-98.985206,32.401132,Cisco,00355300  ,
Citadel Military College of South Carolina,-79.958775,32.797183,Charleston,00342300  ,
Citizens School of Nursing,-79.798934,40.573248,Tarentum,00653400  ,
Citrus College,-117.885266,34.135487,Glendora,00116600  ,
Citrus Heights Beauty College,-121.289529,38.712951,Citrus Heights,02178700  ,
City College of San Francisco,-122.451155,37.725953,San Francisco,00450200  ,
City College-Altamonte Springs,-81.402219,28.663604,Altamonte Springs,03079900  ,
City College-Fort Lauderdale,-80.170500,26.187467,Fort Lauderdale,02515400  ,
City College-Gainesville,-82.417302,29.654852,Gainesville,02515401  ,
City College-Hollywood,-80.220040,26.025173,Hollywood,02515403  ,
City College-Miami,-80.316377,25.683673,Miami,02515402  ,
City Colleges of Chicago-District Office,-87.626660,41.885431,Chicago,00164700  ,
City Colleges of Chicago-Harold Washington College,-87.626596,41.886067,Chicago,00165200  ,
City Colleges of Chicago-Harry S Truman College,-87.659107,41.964502,Chicago,00164800  ,
City Colleges of Chicago-Kennedy-King College,-87.643425,41.780253,Chicago,00165400  ,
City Colleges of Chicago-Malcolm X College,-87.675321,41.878092,Chicago,00165000  ,
City Colleges of Chicago-Olive-Harvey College,-87.589249,41.709997,Chicago,00976700  ,
City Colleges of Chicago-Richard J Daley College,-87.723981,41.755955,Chicago,00164900  ,
City Colleges of Chicago-Wilbur Wright College,-87.787868,41.958774,Chicago,00165500  ,
City Pointe Beauty Academy,-94.473433,37.140007,Webb City,04218400  ,
City University of Seattle,-122.344594,47.617381,Seattle,01302200  ,
City Vision University,-94.569475,39.101164,Kansas City,04119100  ,
Clackamas Community College,-122.574272,45.323185,Oregon City,00487800  ,
Claflin University,-80.854319,33.498444,Orangeburg,00342400  ,
Claremont Graduate University,-117.713703,34.103585,Claremont,00116900  ,
Claremont Lincoln University,-117.717974,34.094143,Claremont,04253600  ,
Claremont McKenna College,-117.711188,34.102154,Claremont,00117000  ,
Claremont School of Theology,-117.715256,34.107602,Claremont,00128800  ,
Clarendon College,-100.902421,34.944558,Clarendon,00355400  ,
Clarion County Career Center Practical Nursing Program,-79.425593,41.233525,Shippenville,02550000  ,
Clarion University of Pennsylvania,-79.377501,41.207805,Clarion,00331800  ,
Clark Atlanta University,-84.412584,33.747628,Atlanta,00155900  ,
Clark College,-122.651257,45.636133,Vancouver,00377300  ,
Clark State Community College,-83.799788,39.896411,Springfield,00485200  ,
Clark University,-71.823356,42.249987,Worcester,00213900  ,
Clarke University,-90.690487,42.509475,Dubuque,00185200  ,
Clarks Summit University,-75.685472,41.495062,South Abington Township,00267000  ,
Clarksburg Beauty Academy and School of Massage Therapy,-80.339054,39.279875,Clarksburg,00895900  ,
Clarkson College,-95.974847,41.259165,Omaha,00986200  ,
Clarkson University,-74.999359,44.662716,Potsdam,00269900  ,
Clary Sage College,-95.903835,36.117058,Tulsa,03367401  ,
Clatsop Community College,-123.823339,46.183107,Astoria,00318900  ,
Clayton  State University,-84.328174,33.594079,Morrow,00897600  ,
Clear Creek Baptist Bible College,-83.727702,36.725236,Pineville,02535600  ,
Clearfield County Career and Technology Center,-78.418679,41.030572,Clearfield,02169600  ,
Cleary University,-83.879987,42.586638,Howell,00224600  ,
Clemson University,-82.835114,34.679381,Clemson,00342500  ,
Cleveland Clinic Health System-School of Diagnostic Imaging,-81.548554,41.598918,Euclid,00510200  ,
Cleveland Community College,-81.492856,35.279833,Shelby,00808200  ,
Cleveland Institute of Art,-81.602416,41.510435,Cleveland,00398200  ,
Cleveland Institute of Music,-81.608878,41.512444,Cleveland,00303100  ,
Cleveland State Community College,-84.879284,35.200103,Cleveland,00399900  ,
Cleveland State University,-81.674355,41.502281,Cleveland,00303200  ,
Cleveland University-Kansas City,-94.679076,38.932019,Overland Park,02090700  ,
Clinton College,-81.043469,34.913721,Rock Hill,00492300  ,
Clinton Community College,-73.439739,44.648410,Plattsburgh,00678700  ,
Clinton Essex Warren Washington BOCES,-73.517906,44.693228,Plattsburgh,00843700  ,
Clinton Technical School,-93.768459,38.363669,Clinton,02497500  ,
Cloud County Community College,-97.664147,39.554199,Concordia,00190900  ,
Clover Park Technical College,-122.497873,47.176084,Lakewood,00575200  ,
Clovis Adult Education,-119.690369,36.834459,Clovis,02309500  ,
Clovis Community College,-119.731261,36.886860,Fresno,04253400  ,
Clovis Community College,-103.165886,34.402483,Clovis,00474300  ,
Cloyd's Barber School 2 Inc,-92.090159,32.485377,Monroe,02338000  ,
Cloyd's Beauty School 1 Inc,-92.126506,32.499976,West Monroe,01109700  ,
Cloyd's Beauty School 3 Inc,-92.080603,32.533231,Monroe,02352500  ,
Coachella Valley Beauty College,-116.278254,33.708193,La Quinta,04115300  ,
Coachella Valley Beauty College-Hemet,-117.010783,33.745675,Hemet,04115301  ,
Coahoma Community College,-90.568469,34.254417,Clarksdale,00240100  ,
Coast Community College District Office,-117.916066,33.674004,Costa Mesa,00871100  ,
Coastal Alabama Community College,-87.778193,30.851343,Bay Minette,00106000  ,
Coastal Bend College,-97.755896,28.435194,Beeville,00354600  ,
Coastal Carolina Community College,-77.384785,34.771687,Jacksonville,00531600  ,
Coastal Carolina University,-79.011767,33.794995,Conway,00345100  ,
Coastal Pines Technical College,-82.382100,31.212781,Waycross,00551100  ,
Coastline Beauty College,-117.921471,33.728821,Fountain Valley,04092300  ,
Coastline Community College,-117.929143,33.715634,Fountain Valley,02063500  ,
Coba Academy,-117.943108,33.841141,Anaheim,03577300  ,
Cobb Beauty College Inc,-84.608874,34.029027,Kennesaw,03090600  ,
Cochise County Community College District,-110.246946,31.564597,Sierra Vista,00107200  ,
Cochran School of Nursing,-73.885705,40.969116,Yonkers,00644300  ,
Coconino Community College,-111.645631,35.171328,Flagstaff,03100400  ,
Coe College,-91.658192,41.988263,Cedar Rapids,00185400  ,
Coffeyville Community College,-95.621374,37.033814,Coffeyville,00191000  ,
Cogswell College,-121.940870,37.414049,San Jose,00117700  ,
Coker University,-80.070416,34.376960,Hartsville,00342700  ,
Colby College,-69.663370,44.564211,Waterville,00203900  ,
Colby Community College,-101.052744,39.377601,Colby,00191100  ,
Colby-Sawyer College,-71.975805,43.411663,New London,00257200  ,
Colegio de Cinematografía Artes y Television,-66.155509,18.399507,Bayamon,03157600  ,
Colegio Educativo Tecnologico Industrial Inc,-66.714906,18.471007,Arecibo,03452300  ,
Colegio Mayor de Tecnologia Inc,-66.061831,17.968588,Arroyo,02552300  ,
Colegio Tecnico de Electricidad Galloza,-67.176343,18.354438,Aguada,03800300  ,
Colegio Universitario de San Juan,-66.066529,18.428528,San Juan,01056700  ,
Colgate Rochester Crozer Divinity School,-77.584292,43.159775,Rochester,00270000  ,
Colgate University,-75.536346,42.819475,Hamilton,00270100  ,
Collectiv Academy,-111.851661,40.564410,Sandy,02078800  ,
Colleen O'Haras Beauty Academy,-117.868136,33.748189,Santa Ana,02220000  ,
College for Creative Studies,-83.062352,42.361839,Detroit,00677100  ,
College of Alameda,-122.279303,37.781017,Alameda,00672000  ,
College of Biblical Studies,-95.506499,29.716750,Houston,03456700  ,
College of Biblical Studies-Houston,-95.506559,29.716676,Houston,03422400  ,
College of Business and Technology-Cutler Bay,-80.356565,25.590468,Cutler Bay,03071603  ,
College of Business and Technology-Hialeah,-80.302213,25.867003,Hialeah,03071602  ,
College of Business and Technology-Main Campus,-80.329161,25.769052,Miami,03071600  ,
College of Business and Technology-Miami Campus,-80.337421,25.768590,Miami,03071601  ,
College of Business and Technology-Miami Gardens,-80.284556,25.924627,Miami Gardens,03071605  ,
College of Central Florida,-82.175692,29.166079,Ocala,00147100  ,
College of Charleston,-79.939794,32.784225,Charleston,00342800  ,
College of Coastal Georgia,-81.485973,31.182745,Brunswick,00155800  ,
College of Cosmetology,-121.765377,42.224857,Klamath Falls,02106100  ,
College of Court Reporting Inc,-87.066331,41.467574,Valparaiso,02615800  ,
College of DuPage,-88.071635,41.841577,Glen Ellyn,00665600  ,
College of Eastern Idaho,-111.985519,43.486041,Idaho Falls,01113300  ,
College of Hair Design Careers,-122.981554,44.949897,Salem,02337900  ,
College of Hair Design-Downtown,-96.705169,40.811084,Lincoln,02079700  ,
College of Hair Design-East Campus,-96.596462,40.732974,Lincoln,02079701  ,
College of International Esthetics Inc,-105.075931,39.790460,Arvada,04184900  ,
College of Lake County,-88.012291,42.354164,Grayslake,00769400  ,
College of Marin,-122.549149,37.954897,Kentfield,00117800  ,
College of Massage Therapy,-112.346975,43.193422,Blackfoot,04168600  ,
College of Menominee Nation,-88.625628,44.859044,Keshena,03125100  ,
College of Micronesia-FSM,158.158189,6.909759,Pohnpei,01034300  ,
College of Mount Saint Vincent,-73.908887,40.913657,Bronx,00270300  ,
College of Our Lady of the Elms,-72.601540,42.141781,Chicopee,00214000  ,
College of Saint Benedict,-94.319888,45.561792,Saint Joseph,00234100  ,
College of Saint Elizabeth,-74.438221,40.781820,Morristown,00260000  ,
College of Saint Mary,-96.021425,41.240028,Omaha,00254000  ,
College of San Mateo,-122.334801,37.535698,San Mateo,00118100  ,
College of Southern Idaho,-114.473901,42.579837,Twin Falls,00161900  ,
College of Southern Maryland,-77.009245,38.558950,La Plata,00206400  ,
College of Southern Nevada,-115.233099,36.158114,Las Vegas,01036200  ,
College of St Joseph,-73.000848,43.600507,Rutland,00368500  ,
College of Staten Island CUNY,-74.148490,40.601831,Staten Island,00269800  ,
College of the Albemarle,-76.219765,36.324885,Elizabeth City,00291700  ,
College of the Atlantic,-68.221517,44.395258,Bar Harbor,01138500  ,
College of the Canyons,-118.568698,34.403993,Santa Clarita,00890300  ,
College of the Desert,-116.388271,33.732108,Palm Desert,00118200  ,
College of the Holy Cross,-71.808214,42.237520,Worcester,00214100  ,
College of the Mainland,-94.999602,29.395810,Texas City,00709600  ,
College of the Marshall Islands,171.378129,7.102688,Majuro,03022400  ,
College of the Muscogee Nation,-95.936439,35.635288,Okmulgee,04224900  ,
College of the Ozarks,-93.238174,36.616019,Point Lookout,00250000  ,
College of the Redwoods,-124.195293,40.698427,Eureka,00118500  ,
College of the Sequoias,-119.315182,36.323877,Visalia,00118600  ,
College of the Siskiyous,-122.389090,41.413005,Weed,00118700  ,
College of Western Idaho,-116.507314,43.614106,Nampa,04211800  ,
College of Wilmington,-77.906111,34.213960,Wilmington,02205000  ,
College Unbound,-71.412848,41.806440,Providence,04283600  ,
CollegeAmerica-Colorado Springs,-104.758069,38.862312,Colorado Springs,02594302  ,
CollegeAmerica-Denver,-104.941168,39.691571,Denver,02594300  ,
CollegeAmerica-Flagstaff,-111.657673,35.194495,Flagstaff,03120300  ,
CollegeAmerica-Fort Collins,-105.080277,40.523124,Fort Collins,02594301  ,
CollegeAmerica-Phoenix,-112.117971,33.574685,Phoenix,03120301  ,
Collin County Community College District,-96.638940,33.162410,McKinney,02361400  ,
Colorado Academy of Veterinary Technology,-104.790429,38.794277,Colorado Springs,04185000  ,
Colorado Christian University,-105.094560,39.713880,Lakewood,00940100  ,
Colorado College,-104.822697,38.848860,Colorado Springs,00134700  ,
Colorado Media School,-105.077863,39.708979,Lakewood,03068201  ,
Colorado Mesa University,-108.553275,39.080643,Grand Junction,00135800  ,
Colorado Mountain College,-107.324441,39.546360,Glenwood Springs,00450600  ,
Colorado Northwestern Community College,-108.790048,40.081112,Rangely,00135900  ,
Colorado School of Healing Arts,-105.082406,39.697033,Lakewood,03584400  ,
Colorado School of Mines,-105.223364,39.751443,Golden,00134800  ,
Colorado School of Trades,-105.104174,39.741810,Lakewood,01157200  ,
Colorado School of Traditional Chinese Medicine,-104.960118,39.739437,Denver,03686300  ,
Colorado State University-Fort Collins,-105.080732,40.574805,Fort Collins,00135000  ,
Colorado State University-Global Campus,-104.786742,39.724849,Aurora,04208700  ,
Colorado State University-Pueblo,-104.579033,38.308590,Pueblo,00136500  ,
Colorado State University-System Office,-104.988932,39.744084,Denver,03343700  ,
Colorado Technical University-Colorado Springs,-104.833928,38.894265,Colorado Springs,01014800  ,
Columbia Area Career Center,-92.336690,38.903705,Columbia,02289200  ,
Columbia Basin College,-119.121030,46.252160,Pasco,00377400  ,
Columbia Central University-Caguas,-66.022543,18.223290,Caguas,00890200  ,
Columbia Central University-Yauco,-66.849099,18.034518,Yauco,00890201  ,
Columbia College,-92.326354,38.957388,Columbia,00245600  ,
Columbia College,-120.388385,38.030367,Sonora,00770700  ,
Columbia College,-77.249152,38.928425,Vienna,04127300  ,
Columbia College,-81.029967,34.045581,Columbia,00343000  ,
Columbia College,-77.434496,38.838042,Centreville,04127301  ,
Columbia College Chicago,-87.624667,41.874261,Chicago,00166500  ,
Columbia College Hollywood,-118.538793,34.179720,Tarzana,02110200  ,
Columbia College of Nursing,-87.918283,43.097318,Glendale,04159400  ,
Columbia Gorge Community College,-121.190197,45.590724,The Dalles,04151900  ,
Columbia Institute,-77.080830,39.056035,Silver Spring,04127302  ,
Columbia International University,-81.074430,34.075510,Columbia,00342900  ,
Columbia Southern University,-87.653162,30.329288,Orange Beach,04121500  ,
Columbia State Community College,-87.101917,35.616757,Columbia,00348300  ,
Columbia Theological Seminary,-84.281695,33.764292,Decatur,00156000  ,
Columbia University in the City of New York,-73.961885,40.808286,New York,00270700  ,
Columbia-Greene Community College,-73.818113,42.217613,Hudson,00678900  ,
Columbiana County Career and Technical Center,-80.747828,40.768063,Lisbon,02272700  ,
Columbus College of Art and Design,-82.989479,39.966074,Columbus,00303900  ,
Columbus State Community College,-82.987660,39.968870,Columbus,00686700  ,
Columbus State University,-84.941060,32.500960,Columbus,00156100  ,
Columbus Technical College,-84.978551,32.508076,Columbus,00562400  ,
Commonwealth Institute of Funeral Service,-95.430153,29.989545,Houston,00355600  ,
Commonwealth Technical Institute,-78.947004,40.301691,Johnstown,02536600  ,
Community Care College,-95.905178,36.101615,Tulsa,03367400  ,
Community Christian College,-117.217101,34.068664,Redlands,03874400  ,
Community College of Allegheny County,-80.018453,40.450908,Pittsburgh,00323100  ,
Community College of Aurora,-104.802673,39.717880,Aurora,02276900  ,
Community College of Baltimore County,-76.482110,39.352647,Baltimore,00206300  ,
Community College of Beaver County,-80.305876,40.655601,Monaca,00680700  ,
Community College of Denver,-105.001044,39.741413,Denver,00954200  ,
Community College of Philadelphia,-75.165604,39.962458,Philadelphia,00324900  ,
Community College of Rhode Island,-71.481509,41.712817,Warwick,00340800  ,
Community College of Vermont,-72.573774,44.280811,Montpelier,01116700  ,
Community Technology Learning Center of Portage,-81.241336,41.156019,Ravenna,-2        ,
Compass Career College,-90.479356,30.476327,Hammond,04040300  ,
Compass College of Cinematic Arts,-85.667065,42.961875,Grand Rapids,04163300  ,
Compton College,-118.209463,33.878226,Compton,04281700  ,
Compu-Med Vocational Careers Corp,-80.306915,25.848446,Hialeah,03108600  ,
Conception Seminary College,-94.682831,40.240440,Conception,00246700  ,
Concord University,-81.006696,37.423723,Athens,00381000  ,
Concorde Career College-Aurora,-104.867089,39.718699,Aurora,00887100  ,
Concorde Career College-Dallas,-96.741711,32.918560,Dallas,00887101  ,
Concorde Career College-Garden Grove,-117.938395,33.774741,Garden Grove,00807100  ,
Concorde Career College-Grand Prairie,-97.054980,32.675369,Grand Prairie,03542300  ,
Concorde Career College-Kansas City,-94.589819,39.067990,Kansas City,02361600  ,
Concorde Career College-Memphis,-89.891723,35.112892,Memphis,02157100  ,
Concorde Career College-North Hollywood,-118.403627,34.186407,North Hollywood,00760700  ,
Concorde Career College-Portland,-122.650703,45.528354,Portland,00888700  ,
Concorde Career College-San Antonio,-98.582351,29.490030,San Antonio,02361602  ,
Concorde Career College-San Bernardino,-117.283995,34.066823,San Bernardino,00853700  ,
Concorde Career College-San Diego,-117.102845,32.702814,San Diego,00793000  ,
Concorde Career College-Southaven,-89.988876,34.976181,Southaven,02157101  ,
Concorde Career Institute-Jacksonville,-81.581748,30.238860,Jacksonville,02089600  ,
Concorde Career Institute-Miramar,-80.291516,25.977088,Miramar,02275100  ,
Concorde Career Institute-Orlando,-81.340421,28.559840,Orlando,02089601  ,
Concorde Career Institute-Tampa,-82.514341,27.959148,Tampa,02172700  ,
Concordia College at Moorhead,-96.767490,46.862482,Moorhead,00234600  ,
Concordia College-New York,-73.822020,40.943382,Bronxville,00270900  ,
Concordia Seminary,-90.311324,38.637181,Saint Louis,00245700  ,
Concordia Theological Seminary,-85.109940,41.139321,Fort Wayne,02087600  ,
Concordia University Texas,-97.835703,30.420232,Austin,00355700  ,
Concordia University-Ann Arbor,-83.682680,42.273157,Ann Arbor,00384256  ,
Concordia University-Chicago,-87.809482,41.898696,River Forest,00166600  ,
Concordia University-Irvine,-117.812305,33.653665,Irvine,02070500  ,
Concordia University-Nebraska,-97.089054,40.914853,Seward,00254100  ,
Concordia University-Portland,-122.636941,45.570197,Portland,00319100  ,
Concordia University-Saint Paul,-93.154861,44.949759,Saint Paul,00234700  ,
Concordia University-Wisconsin,-87.915520,43.253387,Mequon,00384200  ,
Congregation Talmidei Mesivta Tiferes Shmiel Aleksander,-73.994778,40.624233,Brooklyn,04276900  ,
Connecticut College,-72.107321,41.379833,New London,00137900  ,
Connors State College,-95.319541,35.492873,Warner,00315300  ,
Conservatory of Music of Puerto Rico,-66.078811,18.454016,San Juan,01081900  ,
Conservatory of Recording Arts and Sciences,-111.889544,33.407853,Tempe,03034400  ,
Construction Training Center,-80.948762,33.968494,Columbia,04244100  ,
Continental Academie of Hair Design-Hudson,-71.445150,42.776800,Hudson,01318900  ,
Continental School of Beauty Culture-Mattydale,-76.147295,43.105938,Mattydale,00752205  ,
Continental School of Beauty Culture-Olean,-78.428158,42.084487,Olean,02617000  ,
Continental School of Beauty Culture-Rochester,-77.626383,43.086397,Rochester,00752200  ,
Continental School of Beauty Culture-West Seneca,-78.754584,42.828416,West Seneca,00818900  ,
Contra Costa College,-122.337377,37.969381,San Pablo,00119000  ,
Contra Costa Community College District Office,-122.135335,38.019072,Martinez,00118900  ,
Contra Costa Medical Career College,-121.801607,37.976815,Antioch,04274900  ,
Converse College,-81.917881,34.955534,Spartanburg,00343100  ,
Conway School of Landscape Design,-72.648750,42.313857,Northampton,02274300  ,
Cooper Union for the Advancement of Science and Art,-73.991609,40.728148,New York,00271000  ,
Copiah-Lincoln Community College,-90.400234,31.692720,Wesson,00240200  ,
Copper Mountain Community College,-116.213939,34.140464,Joshua Tree,03542400  ,
Coppin State University,-76.658687,39.311258,Baltimore,00206800  ,
Corban University,-122.961129,44.882399,Salem,00133900  ,
Corinth Academy of Cosmetology,-88.520546,34.934036,Corinth,04131300  ,
Cornell College,-91.423741,41.924554,Mount Vernon,00185600  ,
Cornell University,-76.483084,42.447200,Ithaca,00271100  ,
Cornerstone University,-85.595328,42.979966,Grand Rapids,00226600  ,
Cornish College of the Arts,-122.336238,47.618174,Seattle,01231500  ,
Cortiva Institute-Arlington,-97.119031,32.676900,Arlington,02279601  ,
Cortiva Institute-Aurora,-104.824702,39.704762,Aurora,03030607  ,
Cortiva Institute-Baltimore,-76.672532,39.215919,Linthicum,03296300  ,
Cortiva Institute-Chicago,-87.627407,41.882813,Chicago,03455700  ,
Cortiva Institute-Cromwell,-72.678562,41.604041,Cromwell,02316600  ,
Cortiva Institute-Dallas,-96.740482,32.938209,Richardson,03030608  ,
Cortiva Institute-Florida,-82.680031,27.793547,St. Petersburg,02279600  ,
Cortiva Institute-Groton,-72.042638,41.347074,Groton,02316603  ,
Cortiva Institute-Houston,-95.505290,29.846237,Houston,03030609  ,
Cortiva Institute-King of Prussia,-75.378356,40.080630,King of Prussia,03766300  ,
Cortiva Institute-Las Vegas,-115.120742,36.040792,Las Vegas,03030603  ,
Cortiva Institute-Maitland,-81.397179,28.629921,Maitland,03008602  ,
Cortiva Institute-Miami,-80.324464,25.783909,Miami,03008601  ,
Cortiva Institute-New Jersey,-74.096838,40.150539,Wall,03766301  ,
Cortiva Institute-Orem,-111.697483,40.299135,Orem,03030601  ,
Cortiva Institute-Phoenix,-112.126739,33.577302,Phoenix,03030605  ,
Cortiva Institute-Pompano,-80.150541,26.275351,Pompano Beach,03008600  ,
Cortiva Institute-Salt Lake,-111.882079,40.768488,Salt Lake City,03030600  ,
Cortiva Institute-Scottsdale,-111.908070,33.466153,Scottsdale,02623800  ,
Cortiva Institute-Seattle,-122.332042,47.622787,Seattle,03099000  ,
Cortiva Institute-Seattle,-122.307448,47.321132,Federal Way,03099002  ,
Cortiva Institute-Tempe,-111.962383,33.391682,Tempe,03030604  ,
Cortiva Institute-Tucson,-110.856785,32.219010,Tucson,02582700  ,
Cortiva Institute-Westminster,-105.065176,39.859273,Westminster,03030606  ,
Cortiva Institute-Westport,-73.367835,41.133507,Westport,02316601  ,
Cortiva Institute-York,-76.768441,40.085349,York,03296301  ,
Cosmetology & Spa Academy,-88.294087,42.249180,Crystal Lake,02150600  ,
Cosmetology Academy of Texarkana,-94.132583,33.457096,Texarkana,04224100  ,
Cosmetology Career Center LLC,-96.843526,32.973328,Carrollton,01248300  ,
Cosmetology Careers Unlimited College of Hair Skin and Nails,-92.100581,46.785596,Duluth,00960000  ,
Cosmetology School of Arts and Science LLC,-113.792788,42.546938,Burley,03832400  ,
Cosmetology Training Center,-92.073116,30.180961,Lafayette,02548500  ,
Cosmo Beauty Academy,-121.401027,38.628830,Sacramento,04163400  ,
Cosmo Factory Cosmetology Academy,-122.023723,36.967956,Santa Cruz,04215300  ,
Cossatot Community College of the University of Arkansas,-94.367300,34.043389,De Queen,02220900  ,
Cosumnes River College,-121.423108,38.452950,Sacramento,00753600  ,
Cottey College,-94.371311,37.836127,Nevada,00245800  ,
County College of Morris,-74.579873,40.859141,Randolph,00772900  ,
Covenant College,-85.375066,34.965161,Lookout Mountain,00348400  ,
Covenant School of Nursing and Allied Health,-101.937872,33.575700,Lubbock,00661200  ,
Covenant Theological Seminary,-90.451323,38.643066,Saint Louis,00470700  ,
Cowley County Community College,-97.043075,37.061668,Arkansas City,00190200  ,
Cox College,-93.290233,37.225116,Springfield,02068200  ,
Coyne College,-87.627413,41.882558,Chicago,00754900  ,
